rr1,rr_turns,ra1,ra_turns,rd1,rd_turns,ir1,ir_turns,ia1,ia_turns,id1,id_turns,nr1,nr_turns,na1,na_turns,nd1,nd_turns,cr1,cr_turns,ca1,ca_turns,cd1,cd_turns,ur1,ur_turns,ua1,ua_turns,ud1,ud_turns,sr1,sr_turns,sa1,sa_turns,sd1,sd_turns,pr1,pr_turns,pa1,pa_turns,pd1,pd_turns,fr1,fr_turns,fa1,fa_turns,fd1,fd_turns,er1,er_turns,ea1,ea_turns,ed1,ed_turns,mr1,mr_turns,ma1,ma_turns,md1,md_turns
0,35,0,45,0,20,1,85,0,1565,0,20,0,40,0,40,0,90,0,110,0,265,0,115,1,120,0,150,0,65,1,105,1,115,0,225,0,440,1,585,0,175,1,190,1,335,0,20,0,45,0,55,0,40,0,60,0,75,1,95
0,80,0,55,0,105,0,265,0,55,1,165,0,465,0,30,0,25,1,75,0,185,0,40,0,45,0,95,1,120,1,70,0,100,0,125,0,195,0,480,0,125,1,115,0,115,0,65,1,55,0,370,0,20,0,40,0,90,0,55
0,60,1,445,0,55,0,55,0,280,0,65,0,80,0,155,0,30,1,70,0,110,1,215,1,145,0,105,0,50,1,95,0,460,0,25,1,65,0,60,1,260,1,85,1,1555,0,230,0,40,0,600,0,125,0,105,0,120,0,100
0,25,0,70,0,50,1,85,0,60,0,85,1,140,0,295,1,165,1,215,0,40,0,100,1,75,1,1505,0,55,0,85,0,65,1,85,1,535,0,40,0,65,1,160,0,45,0,45,1,110,0,65,0,95,0,40,0,60,0,150
0,135,1,320,0,25,0,30,0,260,0,45,0,95,0,70,0,85,1,95,0,160,0,65,1,120,0,40,0,85,1,140,0,75,1,115,0,70,0,50,0,70,1,100,1,195,0,30,0,40,0,280,0,25,0,85,0,55,0,40
0,75,0,45,1,130,0,145,0,25,0,25,0,70,0,210,0,65,0,105,0,130,0,40,0,90,0,265,1,190,1,55,0,370,0,65,0,105,0,70,1,255,0,170,0,120,1,230,0,280,0,185,0,45,0,100,0,110,0,130
0,35,0,250,0,45,1,110,0,85,0,35,0,30,0,415,0,15,0,130,0,60,1,165,1,255,0,140,0,15,1,175,0,90,0,165,0,200,0,40,0,90,0,120,0,215,0,105,0,95,0,25,0,65,0,30,1,810,0,40
0,230,0,65,0,50,1,95,0,150,0,55,0,855,0,45,0,55,0,55,0,130,0,35,0,175,0,125,0,120,0,35,0,55,0,60,0,230,0,60,0,45,1,165,1,560,0,140,1,335,0,50,0,50,0,160,0,35,0,30
0,40,0,405,0,40,1,80,1,235,0,135,0,150,0,15,0,55,0,65,0,30,1,95,1,65,0,90,0,45,0,100,1,195,0,50,0,85,0,130,0,155,1,75,1,375,0,45,0,75,0,110,0,40,0,60,0,25,0,90
0,240,0,435,0,75,1,75,1,255,0,85,0,40,0,105,1,165,0,35,0,35,0,110,0,50,0,265,0,50,1,75,0,175,0,60,0,180,0,45,0,135,1,210,0,55,1,285,1,110,0,20,0,35,0,50,1,160,0,45
0,25,0,45,0,35,1,80,1,405,0,135,0,25,0,25,0,150,1,150,1,660,0,80,0,100,0,65,0,125,1,95,0,70,0,280,0,100,0,85,0,115,0,135,0,75,0,160,1,90,0,60,0,85,1,45,0,40,0,105
0,80,0,75,0,30,0,65,1,685,0,290,0,60,0,130,0,50,1,80,0,50,0,100,0,70,0,1305,0,100,0,65,0,170,0,115,0,55,0,85,1,295,0,50,0,65,0,190,1,90,1,200,1,205,1,105,0,165,0,185
0,95,1,375,0,40,0,75,1,305,0,40,0,10,0,140,0,40,0,55,0,60,0,125,0,75,1,135,0,95,0,90,0,35,0,70,1,90,0,55,1,195,0,40,0,65,0,45,0,95,0,1715,0,25,0,210,0,165,0,125
1,90,1,865,0,30,1,65,0,55,1,255,0,45,0,310,0,55,0,105,0,75,0,25,0,330,0,65,0,60,0,620,0,100,0,55,0,60,1,270,0,105,0,45,0,50,0,315,0,60,0,205,0,115,0,35,0,90,0,80
0,50,0,65,0,50,1,65,0,160,0,80,0,215,0,75,0,670,0,275,0,205,0,105,1,130,0,175,0,230,0,220,0,95,0,105,0,70,0,50,1,205,1,140,0,55,0,140,1,95,0,410,0,75,0,45,0,175,0,30
0,25,0,30,0,40,1,75,0,110,0,75,0,50,0,160,0,75,1,70,0,105,0,130,0,45,0,60,0,25,0,130,0,145,0,30,1,305,1,1120,0,280,1,65,0,245,0,20,1,145,0,320,0,70,0,70,0,60,0,65
0,150,1,135,0,15,0,55,1,135,1,140,0,35,0,35,0,20,0,85,0,90,0,30,1,65,0,70,1,265,0,80,0,315,0,160,0,20,0,80,0,30,1,60,0,385,0,100,0,45,0,25,0,40,0,35,0,40,0,75
0,180,0,50,0,95,0,20,0,45,0,40,0,40,0,45,0,35,1,310,0,5,0,60,0,35,0,55,1,110,0,100,1,645,0,105,0,2270,0,70,0,30,0,140,0,75,0,60,0,165,1,345,0,90,0,50,0,90,0,65
1,75,0,25,0,70,0,60,0,100,0,165,1,385,0,125,0,140,0,25,0,85,0,35,1,315,0,320,0,85,0,100,0,80,0,155,0,100,1,270,1,80,1,270,0,45,0,70,0,100,0,215,0,170,0,80,0,95,0,65
0,70,0,55,0,15,0,60,0,75,0,160,0,55,0,40,0,165,0,40,0,210,0,90,0,80,0,315,0,30,0,45,0,40,0,160,0,145,0,65,0,50,0,55,0,40,0,75,0,70,0,75,0,230,0,15,0,110,0,90
0,30,0,25,0,100,0,55,0,90,0,200,0,35,0,35,0,40,0,45,0,60,0,55,0,45,0,50,0,65,0,40,0,40,0,95,0,200,0,75,0,285,1,100,0,385,0,80,0,35,0,565,0,75,1,60,0,45,0,50
0,25,0,190,0,80,0,120,0,455,0,70,1,90,0,60,1,445,0,75,0,125,0,215,0,75,0,35,0,20,0,120,0,65,0,220,1,185,0,195,0,220,1,90,0,45,0,75,0,40,0,150,0,145,0,30,0,55,0,45
0,315,0,60,0,65,1,80,0,50,0,135,0,50,0,45,0,25,0,70,0,50,0,40,0,105,0,105,0,135,1,65,0,165,1,155,1,135,0,35,0,40,0,105,1,245,0,180,0,280,0,50,0,65,0,175,0,40,0,10
0,45,0,525,0,55,0,90,0,60,0,65,0,135,0,55,0,50,0,60,0,60,0,20,1,150,0,60,0,65,0,420,0,1220,1,340,1,425,0,1405,0,70,0,195,0,425,0,50,0,45,0,175,0,30,0,180,0,40,0,60
0,10,0,25,0,80,1,225,0,85,0,85,1,160,0,70,0,25,0,25,0,700,0,145,0,210,0,70,0,100,0,225,0,265,0,55,0,95,1,135,0,205,1,75,0,30,0,275,0,45,0,75,0,45,0,80,0,60,0,15
0,25,0,385,0,80,1,85,0,165,0,90,0,20,0,25,0,90,1,95,0,75,0,25,0,150,0,175,0,40,0,140,0,110,0,25,1,140,1,600,0,310,0,185,1,585,0,105,1,70,0,60,0,105,0,45,0,85,0,35
